ID,latitude,longitude
1597,12.35,-1.5
1598,11.4,-4.41
1599,11.86667,3.38333
1600,9.35,2.61667
1603,-6.84643,39.18285
1604,-6.87877,39.24557
1605,-6.71377,39.21003
1606,-5.21931,38.65845
1607,-5.13266,38.39519
1608,-5.10242,38.4755
1609,-3.35043,37.15805
1610,-3.43737,37.29678
1611,-3.43086,37.27103
1651,10.86667,15
1652,10.86667,15
1653,10.86667,15
1654,10.86667,15
1655,10.86667,15
1656,10.85,15.06667
1657,10.85,15.06667
1658,10.85,15.06667
1659,10.85,15.06667
1660,10.85,15.06667
1661,9.4,13.51667
1662,9.4,13.51667
1663,9.4,13.51667
1664,9.4,13.51667
1665,9.4,13.51667
1666,10.08333,14.45
1667,10.08333,14.45
1668,10.08333,14.45
1669,10.08333,14.45
1670,10.08333,14.45
1676,9.3,13.38333
1677,9.3,13.38333
1678,9.3,13.38333
1679,9.3,13.38333
1680,9.3,13.38333
1698,-4.94769,39.78805
1699,10.33333,-3.18333
1701,10.65437,-5.16591
1702,10.97,-4.91
1703,11.18333,-4.28333
1704,11.02944,-4.04583
1705,11.75,-0.86667
1706,12.46667,-3.45
1707,12.25108,-2.36113
1708,12.68364,-2.19245
1709,12.06022,0.36056
1710,13.1,-1.08333
1711,13.57101,-2.41684
1712,14.05,-0.05
1713,11.78231,-0.36456
1715,12.06022,0.36056
1716,10.97,-4.91
1718,12.35,-1.5
1719,14.05,-0.05
1721,11.48333,-3.51667
1722,11.66667,-4.4
1723,11.16454,-4.25303
1725,12.61667,-3.91667
1727,-5.95,39.3
1728,-6.16673,39.22439
1729,-27.35639,32.22644
1730,-27.35639,32.22644
1731,-27.35639,32.22644
1732,-19.24306,46.27278
1733,-19.24306,46.27278
1734,-19.24306,46.27278
1735,-19.00944,46.4225
1736,-18.95,47.56667
1737,11.02944,-4.04583
1738,-8.15443,36.39301
1739,12.35,9.98333
1743,14.4,33.51667
1744,14.4,33.51667
1745,14.4,33.51667
1746,14.78333,33.36667
1747,14.78333,33.36667
1748,14.78333,33.36667
1749,13.85,33.55
1750,13.85,33.55
1751,13.85,33.55
1752,14.18333,33.13333
1753,14.18333,33.13333
1754,14.18333,33.13333
1815,-0.06115,34.33485
1816,0.01118,34.11065
1817,-0.08432,34.33528
1818,-0.02994,34.01295
1819,-0.23878,34.25207
1820,-0.10549,34.16853
1821,-0.28012,34.299
1822,-0.17426,34.34519
1823,-0.17955,34.36904
1824,-0.3945,34.29017
1825,-0.34709,34.29524
1826,-0.32816,34.26666
1827,-0.1956,34.17509
1828,-0.16501,34.42804
1829,-0.08225,34.38567
1830,-0.05977,34.09323
1831,-0.08155,34.17182
1832,-0.16892,34.1437
1833,-0.14719,35.20698
1834,-0.21776,35.27142
1835,-0.15629,35.1875
1836,-0.17983,35.26651
1837,-0.20466,34.91093
1838,-0.14686,35.04393
1839,-0.22737,34.89606
1840,-0.08595,35.0032
1841,-0.32034,34.9063
1842,-0.0775,35.19345
1843,-0.12807,35.0951
1844,-0.18744,35.02239
1845,-0.16478,35.06343
1846,-0.28638,35.03972
1847,-0.38281,34.64838
1848,-0.43839,34.50693
1849,-0.44192,34.61899
1850,-0.44448,34.64009
1851,-0.35597,34.70235
1852,-0.3563,34.75265
1853,-0.35951,34.46602
1854,-0.42227,34.56537
1855,-0.34835,34.79009
1856,-0.43178,34.4816
1857,-0.39202,34.62611
1858,-0.35434,34.54621
1859,-0.44317,34.58158
1860,-0.40492,34.54733
